x,y,ID,polyid,stockid,abulast,abulastvar,trmean,trvar
1481836.01574119,806646.720510829,1173,AD08,12,8.93667782387019,18260.6195416688,-3.35224086396977,24.6566032515735
1477071.37070847,807745.038566108,1174,AD09,12,27.4376978632593,37178.1832995387,4.42593602828499,20.7123457695297
1476751.26747845,794586.577665588,1217,AD10,12,36.0752616700573,62756.4570162703,-7.91042565713892,146.75357851112
1472576.21056959,796590.3111526,1222,AD11,12,1.34336393102413,100.969608568239,-0.452917981428693,0.53397751769979
1472793.15438052,786543.743117618,39,AD12,12,51.8668376110009,204451.541802297,10.1279965955965,173.481910587576
1464764.72660282,783218.206056502,1,AD13,12,95.4459312846487,789736.93351037,-40.476529157554,1046.94736912043
1466404.64877068,805161.357961311,2,AD14,12,8.6802679677335,12659.42227487,-3.41317385920178,21.8631847844885
1463482.67386971,799213.824549875,3,AD15,12,13.0191395763198,21059.224743055,-2.3475750226692,22.1186036161484
1459478.6183271,788957.803855146,4,AD16,12,37.8707061083157,74767.2605378454,6.20911803967194,16.2399275187004
1448616.82138141,801536.762398281,5,AD17,12,19.1030597452787,46608.7454384722,-4.17471476713024,45.6138277852554
1440387.44102572,810200.970288177,40,AD18,12,250.587891350786,1502239.58929693,-35.7674599722846,1007.03349080775
1445660.15725939,822284.18331722,169,AD19,12,0.000989694825554694,0.0000951919183882512,0.0000225324737253702,0.000000214901905086611
1454487.39921568,819596.242561618,41,AD20,12,3.66175251543081,675.794124046939,-3.47641894561718,7.09651707759174
1458521.69839386,829245.665538557,42,AD21,12,25.0113744981349,23405.2421817556,-8.04993433088621,70.7223308881416
1459486.89517475,843743.506215512,43,AD22,12,7.76355489456718,5348.12043812921,-4.76175226070311,30.9619333201419
1433564.52564897,820373.23792641,44,AD23,12,11.3876898159976,9400.88935289316,1.80326712434876,6.00907778706456
1436818.49174076,837702.861204095,45,AD24,12,11.6567289232948,14584.6705879626,-4.82625250483867,7.48333534263465
1448738.13209824,847610.546072639,46,AD25,12,53.775775057151,153540.095913012,-7.33165369781944,249.871091208202
1431737.18081071,855588.283289307,47,AD26,12,141.023442063554,1078862.21946486,-5.62597915010098,489.367776157638
1435912.46993389,873467.192769556,48,AD27,12,5.95129683105696,3515.69786202412,-2.19475381780736,7.56322247657252
1425069.38296494,875205.829919653,171,AD28,12,0.000998101053496498,0.0000783372496657255,0.0000132328300323254,0.000000142259037117394
1426233.03345997,887373.64533377,172,AD29,12,0.000934018436656232,0.0000629905874428124,0.0000203026136433393,0.000000137713870454841
1409220.35398745,893941.083555446,49,AD30,12,142.43707505075,2250539.39152291,-18.7211383489179,991.857267137869
1394668.28314982,910416.352111333,50,AD31,12,24.0824269797872,37366.0309434971,-6.33624316536934,88.2318937598885
1397493.93854847,897940.961134948,173,AD32,12,0.000972574746282092,0.0000713826499045133,0.0000400029569536741,0.000000150784514875751
1413329.12729721,884434.832923942,51,AD33,12,12.271741765291,8588.13644931218,2.53375404978096,3.89367883619814
1422743.00068192,869037.02207821,174,AD34,12,0.000883223805209389,0.0000377839876630656,0.0000285495824645968,0.000000115050434871259
1426422.48256744,852500.850392175,175,AD35,12,0.000853521806157659,0.0000888021453362166,0.0000136403175384802,0.000000120624787566044
1431999.13840911,843913.320991635,52,AD36,12,1.96898827159528,252.684345752999,-0.568244032241519,0.594137983410134
1427448.05427137,835038.812177639,53,AD37,12,103.934521055083,213318.084907752,13.7016240658474,200.244052491458
1418577.00839772,826539.133632855,166,AD38,12,0.000800129885024195,0.0000558631342447472,0.0000239237086424687,0.000000133423765745893
1414242.55374797,840462.067320946,26,AD39,12,38.3685820703749,109246.331400627,-16.4160054545527,270.522054261423
1410589.96440593,827529.381213004,167,AD40,12,0.000725100979853529,0.0000984979048384411,0.000022912646545008,0.000000104472330856687
1404561.35810167,832939.559389743,27,AD41,12,0.176368218944438,2.68645571254751,0.0256342977951057,0.00281147565144914
1406854.98269784,845771.571812598,28,AD42,12,69.1966885702321,201435.796722688,-9.15426449168019,255.740024563681
1399777.88375102,860090.137649887,168,AD43,12,0.000905665686329399,0.000125994087824152,0.0000160291297918865,0.000000100604616696614
1397092.94160736,842763.764130298,29,AD44,12,32.4935624969257,67418.7189548674,-6.6907923907994,62.044266525996
1394867.09346573,827217.322575388,30,AD45,12,0.00078661106158665,0.0000569767087784884,0.0000260719726027561,0.000000109839534047449
1403605.01978085,821728.693704464,6,AD46,12,36.7429564859597,47926.432316766,4.20897122004371,21.9033545564313
1415856.77098222,814305.20858835,7,AD47,12,87.3453464724242,389048.313935975,6.51543369403817,315.496067637537
